Region,Display_Name,Population,Lat,Long,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020
Region Blekinge,Blekinge,159606,56.16156,15.58661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Region Dalarna,Dalarna,287966,60.602778,15.656111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4
Region Gävleborg,Gävleborg,287382,60.674722,17.144444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Region Gotland,Gotland,59686,57.628889,18.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Halland,Halland,333848,56.658333,12.900278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3
Region Jämtland Härjedalen,Jämtland,130810,63.158056,14.679167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Jönköpings län,Jönköping,363599,57.78145,14.15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2
Region Kalmar län,Kalmar län,245446,56.669444,16.321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Region Kronoberg,Kronoberg,201469,56.889167,14.802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Norrbotten,Norrbotten,250093,65.584819,22.1567026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Region Örebro län,Örebro län,304805,59.266944,15.196389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Region Östergötland,Östergötland,465495,58.409444,15.625556,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,5
Region Skåne,Skåne,1377827,55.6087551,13.0004841,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0
Region Sörmland,Sörmland,297540,58.7556833,16.9947833,0,0,0,0,0,1,1,1,1,1,0,0,2,0,2,3,2,2,1,0
Region Stockholm,Stockholm,2377081,59.334591,18.06324,1,0,0,0,1,3,0,0,0,3,2,0,6,3,18,6,17,3,5,21
Region Uppsala,Uppsala,383713,59.85882,17.63889,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2
Region Värmland,Värmland,282414,59.3875,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Region Västerbotten,Västerbotten,271736,63.828333,20.270556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Västernorrland,Västernorrland,245347,62.632222,17.938056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Västmanland,Västmanland,275845,59.60746,16.55215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Västra Götalandsregionen,Västra Götaland,1725881,57.70887,11.97456,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
